Title,Content Platform,Category,Link,Views,View duration (Time on page),Video duration,Likes/(dislikes),Comments,Shares,Impressions,Impressions CTR,Unique Pageviews,Bounce rate,%Exit
Where do our hair extensions come from?,Blog,"Company guide, Manufacturing, Behind the scenes",https://www.haircompounds.com/blogs/hair-extensions-news/where-do-our-hair-extensions-come-from,717,1:16,,n/a,0,n/a,n/a,n/a,324,1.46%,29.71%
How Top Extensionists Handle Client Complaints,YouTube,"Education, Business, Clients",https://www.youtube.com/watch?v=Zxa2P7D6C_c&t=17s,222,3:55,11:11,4/0,0,n/a,2450,3.50%,n/a,n/a,n/a
How To Take Control Over Your Packages | UPS | USPS,YouTube,"Education, Business, Operations",https://www.youtube.com/watch?v=4GfE7Z44qqA&t=8s,545,1:45,5:21,4/0,1,n/a,7095,5.60%,n/a,n/a,n/a
Fusion Extensionist Alex Denaro | Customer Visit Vlog,YouTube,Customer Visit,https://www.youtube.com/watch?v=59-C-tM64LE&t=3s,118,4:09,12:40,4/0,0,n/a,1557,3.10%,n/a,n/a,n/a
BTS at Hair & Compounds | Celebrating Our Women,YouTube,"Behind the scences, employees",https://www.youtube.com/watch?v=OOuNxJNL9zE,32,2:22,9:06,2/0,0,n/a,1088,1.50%,n/a,n/a,n/a
How We Helped Vanessa Match Another Companies Color Swatch | Customer Order Stories,YouTube,"Customer Story, Color matching",https://www.youtube.com/watch?v=OX0P-VxRWbQ&t=2s,85,1:01,1:42,4/0,0,n/a,1072,2.40%,n/a,n/a,n/a
Customer Testimonial | Polymer Bond Installation & Removal Demo | Unedited Feedback | Kaylie Gipson,YouTube,"Tutorial, hair installation, Poly",https://www.youtube.com/watch?v=0fDhlh2u92o&t=2s,113,1:20,3:17,2/0,0,n/a,847,5.40%,n/a,n/a,n/a
Installing Hand-Tied Wefts | Celebrity Extensionist Ashleigh Rancilio | Tracey Cunningham Salon,YouTube,"Tutorial, hair installation, Weft",https://www.youtube.com/watch?v=CkXq4Nr5SrM,2457,1:56,3:25,9/0,0,n/a,7520,8%,n/a,n/a,n/a
Live Hair Extensions Installation | Natural Beaded Row | Tracey Cunningham Salon | Hair & Compounds,YouTube,"Tutorial, hair installation, Weft",https://www.youtube.com/watch?v=859KSHEMwNg,2608,3:53,20:20,14/0,0,n/a,"12,499",7.60%,n/a,n/a,n/a
Quick Sew-In Extension Method with Hand-tied Wefts,YouTube,"Tutorial, hair installation, Weft",https://www.youtube.com/watch?v=PSCyIaeo_4Y,6100,1:53,11:04,33/10,n/a,n/a,"49,864",5.30%,n/a,n/a,n/a
An Interview with Celebrity Weft Hair Extensionist | Natural Beaded Row | Tracey Cunningham Salon,YouTube,Stylist interview,https://www.youtube.com/watch?v=Ub3YmJ9B2SY,589,3:41,13:01,4/0,0,n/a,4107,5.60%,n/a,n/a,n/a
"Guy Tang Extensionist | Natural Beaded Row, Kacey Welch | Customer Visit Vlog",YouTube,Customer visit,https://www.youtube.com/watch?v=6RyY7qNDuJ4,813,2:39,7:40,14/0,5,n/a,4601,6.70%,n/a,n/a,n/a
How to Install Cylinder Hair Extensions | Tutorial | Hair and Compounds Review | Joanne Morrison,YouTube,"Hair installation tutorial, Cylinder",https://www.youtube.com/watch?v=boMraIp-1mE,205,9:59,46:07,2/1,0,n/a,1171,7.30%,n/a,n/a,n/a
How To Layer Our Hand-Tied Wefts,YouTube,"Product guide, Weft",https://www.youtube.com/watch?v=qtc7scYZ3Gk,1204,1:32,2:51,15/0,0,n/a,6146,6.90%,n/a,n/a,n/a
About Our | Hand Tied Weft Extensions,YouTube,"Product guide, Weft",https://www.youtube.com/watch?v=n2h24ZYTnYs,1340,1:20,2:24,9/1,0,n/a,4002,5.50%,n/a,n/a,n/a
Testing for Cuticle Remy Human Hair by Hand,YouTube,"Tutorial, testing hair",https://www.youtube.com/watch?v=3_AzrOsugwo,1100,1:31,2:08,10/1,0,n/a,8556,5.40%,n/a,n/a,n/a
How We Test Returned Hair To Verify Quality,YouTube,"Education, testing hair",https://www.youtube.com/watch?v=A4cm_uhtPA0,162,6:40,12:28,8/0,0,n/a,1395,3.20%,n/a,n/a,n/a
How to Blend and Style Cylinder Hair Extensions | Tutorial | Hair and Compounds Review,YouTube,"Tutorial, hair modification, Cylinder",https://www.youtube.com/watch?v=JD9tMCeLhvg,185,5:16,26:05,3/0,0,n/a,2258,3.80%,n/a,n/a,n/a
Steven Mathew x Hair & Compounds Collaboration,YouTube,"Tutorial, hair installation, Weft",https://www.youtube.com/watch?v=w6zSDCbrh4k,199,4:19,10:45,11/0,0,n/a,1149,4.50%,n/a,n/a,n/a
We Don't Compromise Quality,YouTube,"Product guide, quality",https://www.youtube.com/watch?v=XCLCSCWTSU4,325,2:33,7:47,3/0,1,n/a,1577,4.40%,n/a,n/a,n/a
Hair Extensions Manufacturer and Supplier in the USA,YouTube,Company guide,https://www.youtube.com/watch?v=l4CDnBMXOGo,666,1:14,2:23,11/0,n/a,n/a,6038,5.90%,n/a,n/a,n/a
"""Its the Quality of the Hair""",YouTube,Customer review,https://www.youtube.com/watch?v=NEfFQK2kC08,738,0:56,2:00,3/0,0,n/a,1955,6.90%,n/a,n/a,n/a
10 Tips for Coloring Hair Extensions,YouTube,"Education, coloring tips",https://www.youtube.com/watch?v=gL_nzeEKRrY,301,2:14,5:09,5/0,0,n/a,4098,3.00%,n/a,n/a,n/a
"About Our | Polymer, Keratin Bond | Fusion Extensions",YouTube,"Product guide, Poly",https://www.youtube.com/watch?v=j3t875oltQg,544,1:12,2:35,2/0,0,n/a,2416,4.20%,n/a,n/a,n/a
Mariah Carey Stylist | Miles Jefferies | Meche Salon | Supply House Visit,YouTube,Customer visit,https://www.youtube.com/watch?v=vOyas33AZI0,141,4:08,19:38,3/0,0,n/a,1782,3.60%,n/a,n/a,n/a
About Brush Up | How To Use Brush Up!,YouTube,"Product guide, Brush up",https://www.youtube.com/watch?v=azWh3wYH0ms,203,2:42,6:21,3/0,0,n/a,1057,4.80%,n/a,n/a,n/a
About Our | Cylinder | Micro Bead | I-Tip Extensions,YouTube,"Product guide, Cylinder",https://www.youtube.com/watch?v=BMMUMoOYJxM,441,1:14,2:44,3/0,0,n/a,2058,3.50%,n/a,n/a,n/a
About Our Lab | Why It Matters To YOU,YouTube,"Behind the scences, lab",https://www.youtube.com/watch?v=bgQZPRzlPNk,252,2:06,6:04,1/0,0,n/a,1146,3.90%,n/a,n/a,n/a
Brush Up - A Hair Extensions Treatment,YouTube,"Tutorial, hair modification, Brush up",https://www.youtube.com/watch?v=a2XKuCMMCC8,248,2:13,4:13,4/0,n/a,n/a,1803,3.00%,n/a,n/a,n/a
Create A Free Account With Us! No Certification Required!,YouTube,Company guide,https://www.youtube.com/watch?v=plWEPG61GRU,638,0:44,1:02,0/0,0,n/a,885,2.30%,n/a,n/a,n/a
Hair & Compounds Instagram Takeover | Alex Denaro | Darah Diaz | Full Takeover,YouTube,"Tutorial, hair installation, Poly",https://www.youtube.com/watch?v=PHNw59YBIJU,189,2:30,6:54,6/0,0,n/a,1474,2.70%,n/a,n/a,n/a
"Our White, Silver, and Platinum Hair Lines | Our Products",YouTube,"Product guide, Silver hair",https://www.youtube.com/watch?v=qfjSJNSHuwQ,263,1:29,3:19,3/0,0,n/a,4037,2.30%,n/a,n/a,n/a
Unboxing New Shipment From India | Custom Hair! | How To Order | Part 1,YouTube,"Behind the scenes, stock",https://www.youtube.com/watch?v=wD_ga5zyY9E,164,2:07,4:01,2/0,0,n/a,1812,4.40%,n/a,n/a,n/a
Whiteboard Wednesdays | Customer Segments & Value Propositions,YouTube,"Education, Business",https://www.youtube.com/watch?v=sING3YiabIg,181,1:50,7:43,1/0,0,n/a,1108,5.00%,n/a,n/a,n/a
BTS at Hair and Compounds | New Shipment of Hair From India!!! | March 7 2018,YouTube,"Behind the scenes, stock",https://www.youtube.com/watch?v=tpPSeJClPDw,117,2:49,7:42,1/0,0,n/a,1229,2.40%,n/a,n/a,n/a
How We Test For Tensile Strength | Tensile Strength | About Our Lab,YouTube,"Behind the scences, lab",https://www.youtube.com/watch?v=4JrtMwLDeSk,293,1:05,4:17,3/0,0,n/a,3102,3.70%,n/a,n/a,n/a
Ombre Done Right | About Our Ombre Hair Extensions,YouTube,"Product guide, Ombre",https://www.youtube.com/watch?v=5dbNk3U1nmk,170,1:44,4:01,2/0,0,n/a,2712,2.40%,n/a,n/a,n/a
Customer Testimonial | Polymer Bond Installation Demonstration | Unedited Feedback | Alex Denaro,YouTube,"Tutorial, hair installation, Poly",https://www.youtube.com/watch?v=LHDyQgS6_Xs,143,1:53,3:39,5/0,0,n/a,948,3.70%,n/a,n/a,n/a
How We Produce Our Hand-Tied Wefts | Our Production House in India,YouTube,"Company guide, Manufacturing, Behind the scenes",https://www.youtube.com/watch?v=Jh7JbqiDD30,210,1:16,2:16,4/0,0,n/a,1220,5.50%,n/a,n/a,n/a
Celebrity Extensionist | Michelle Brenes | Customer Visit Vlog | Curly Hair Extensions,YouTube,Customer visit,https://www.youtube.com/watch?v=S5jk8F-YaVU,55,4:52,12:55,3/0,0,n/a,1106,3.40%,n/a,n/a,n/a
Styling | Celebrity Extensionist Ashleigh Rancilio | Tracey Cunningham Salon,YouTube,"Tutorial, styling",https://www.youtube.com/watch?v=tBpPIxRNX_A,129,2:00,3:58,3/0,0,n/a,1211,4.00%,n/a,n/a,n/a
Customer Testimonial | Polymer Bond Install Demonstration | Unedited Feedback | Arax Terovsepyan,YouTube,"Tutorial, hair installation, Poly",https://www.youtube.com/watch?v=J-jDWWNf9Zk,173,1:25,3:40,3/1,0,n/a,929,3.40%,n/a,n/a,n/a
Coloring: Baby Lights | Celebrity Extensionist Ashleigh Rancilio | Tracey Cunningham Salon,YouTube,"Tutorial, hair modification",https://www.youtube.com/watch?v=bdKvIRnfEto,96,2:27,5:33,3/0,0,n/a,1667,4.30%,n/a,n/a,n/a
How to Reshape Cylinder Extension Tips,YouTube,"Tutorial, hair modification, Cylinder",https://www.youtube.com/watch?v=82MATo-PhcQ,170,1:16,2:32,6/0,0,n/a,1052,2.30%,n/a,n/a,n/a
Tips from a Celebrity Hair Stylist | Cylinder Hair Extensions | Hair and Compounds Review,YouTube,Stylist interview,https://www.youtube.com/watch?v=bu66nEZLVIY,116,1:51,6:28,3/0,0,n/a,992,4.90%,n/a,n/a,n/a
How You Can Comb And Maintain Hair - The Scientific Way | Tensile Strength | About Our Lab,YouTube,"Education, maintenance",https://www.youtube.com/watch?v=XMCUBW6jJcY,140,1:31,5:10,4/0,0,n/a,2672,2.60%,n/a,n/a,n/a
BTS at Hair and Compounds | New Employees! | May 10 2018,YouTube,"Behind the scences, employees",https://www.youtube.com/watch?v=fEWxdCPc_uI,97,2:10,5:14,4/0,0,n/a,1248,2.50%,n/a,n/a,n/a
Hair Extensionist for Fine or Thin Hair | Customer Visit Vlog,YouTube,Customer visit,https://www.youtube.com/watch?v=4tqa4ENuTGg,75,2:41,8:06,3/0,0,n/a,655,5.30%,n/a,n/a,n/a
Tools for Cylinder Hair Extension Installation | Hair and Compounds Review | Celebrity Hair Stylist,YouTube,"Education, tools, Poly",https://www.youtube.com/watch?v=RZIbesrp-34,88,2:15,5:50,1/1,0,n/a,740,4.20%,n/a,n/a,n/a
Hair Extensions Tangle Testing,YouTube,"Education, Tangle test",https://www.youtube.com/watch?v=ryhfTSNYxZk,142,1:23,2:28,7/0,n/a,n/a,1723,3.80%,n/a,n/a,n/a
BTS at Hair & Compounds | Marketing Team Tries To Make Hand-Tied Wefts,YouTube,"Behind the scenes, employee",https://www.youtube.com/watch?v=aPkfjLc9Go0,93,2:07,5:52,3/0,1,n/a,1752,2.60%,n/a,n/a,n/a
Turn Poly Hair Extension Tips into Microstrands,YouTube,"Tutorial, hair modification, Poly",https://www.youtube.com/watch?v=XL_3eYx3OVE,818,1:10,1:42,5/0,n/a,n/a,n/a,n/a,n/a,n/a,n/a
