"","Title","Content.Platform","Category","Link","Views","View.duration..Time.on.page.","Video.duration","Likes..dislikes.","Comments","Shares","Impressions","Impressions.CTR","Unique.Pageviews","Bounce.rate","X.Exit","level1","level2","level1_level2","likes","dislikes","total.seconds","view.seconds"
"2","How Top Extensionists Handle Client Complaints","YouTube","Education, Business, Clients","https://www.youtube.com/watch?v=Zxa2P7D6C_c&t=17s",222,"3:55","11:11","4/0","0","n/a",2450,"3.50%","n/a","n/a","n/a","education","business","education : business",4,0,671,235
"3","How To Take Control Over Your Packages | UPS | USPS","YouTube","Education, Business, Operations","https://www.youtube.com/watch?v=4GfE7Z44qqA&t=8s",545,"1:45","5:21","4/0","1","n/a",7095,"5.60%","n/a","n/a","n/a","education","business","education : business",4,0,321,105
"4","Fusion Extensionist Alex Denaro | Customer Visit Vlog","YouTube","Customer Visit","https://www.youtube.com/watch?v=59-C-tM64LE&t=3s",118,"4:09","12:40","4/0","0","n/a",1557,"3.10%","n/a","n/a","n/a","customer visit","customer visit","customer visit : NA",4,0,760,249
"5","BTS at Hair & Compounds | Celebrating Our Women","YouTube","Behind the scenes, employees","https://www.youtube.com/watch?v=OOuNxJNL9zE",32,"2:22","9:06","2/0","0","n/a",1088,"1.50%","n/a","n/a","n/a","behind the scenes","employees","behind the scenes : employees",2,0,546,142
"6","How We Helped Vanessa Match Another Companies Color Swatch | Customer Order Stories","YouTube","Customer Story, Color matching","https://www.youtube.com/watch?v=OX0P-VxRWbQ&t=2s",85,"1:01","1:42","4/0","0","n/a",1072,"2.40%","n/a","n/a","n/a","customer story","color matching","customer story : color matching",4,0,102,61
"7","Customer Testimonial | Polymer Bond Installation & Removal Demo | Unedited Feedback | Kaylie Gipson","YouTube","Tutorial, hair installation, Poly","https://www.youtube.com/watch?v=0fDhlh2u92o&t=2s",113,"1:20","3:17","2/0","0","n/a",847,"5.40%","n/a","n/a","n/a","tutorial","hair installation","tutorial : hair installation",2,0,197,80
"8","Installing Hand-Tied Wefts | Celebrity Extensionist Ashleigh Rancilio | Tracey Cunningham Salon","YouTube","Tutorial, hair installation, Weft","https://www.youtube.com/watch?v=CkXq4Nr5SrM",2457,"1:56","3:25","9/0","0","n/a",7520,"8%","n/a","n/a","n/a","tutorial","hair installation","tutorial : hair installation",9,0,205,116
"9","Live Hair Extensions Installation | Natural Beaded Row | Tracey Cunningham Salon | Hair & Compounds","YouTube","Tutorial, hair installation, Weft","https://www.youtube.com/watch?v=859KSHEMwNg",2608,"3:53","20:20","14/0","0","n/a",NA,"7.60%","n/a","n/a","n/a","tutorial","hair installation","tutorial : hair installation",14,0,1220,233
"10","Quick Sew-In Extension Method with Hand-tied Wefts","YouTube","Tutorial, hair installation, Weft","https://www.youtube.com/watch?v=PSCyIaeo_4Y",6100,"1:53","11:04","33/10","n/a","n/a",NA,"5.30%","n/a","n/a","n/a","tutorial","hair installation","tutorial : hair installation",33,10,664,113
"11","An Interview with Celebrity Weft Hair Extensionist | Natural Beaded Row | Tracey Cunningham Salon","YouTube","Stylist interview","https://www.youtube.com/watch?v=Ub3YmJ9B2SY",589,"3:41","13:01","4/0","0","n/a",4107,"5.60%","n/a","n/a","n/a","stylist interview","stylist interview","stylist interview : NA",4,0,781,221
